curvature_1_per_m,curvature_1_per_mm,moment_kNm
-2.224447997042011938e-20,-2.224447997042011808e-23,-7.639755494892597673e-14
8.577964163171941225e-04,8.577964163171941326e-07,5.198007030708230332e+02
1.715592832634388245e-03,1.715592832634388265e-06,9.250530730204512793e+02
2.573389248951582584e-03,2.573389248951582398e-06,1.141372326054369978e+03
3.431185665268776490e-03,3.431185665268776531e-06,1.295036682120130081e+03
4.288982081585970829e-03,4.288982081585971087e-06,1.420775919191203457e+03
5.146778497903166036e-03,5.146778497903165643e-06,1.529541748896667741e+03
6.004574914220359508e-03,6.004574914220359352e-06,1.626720385578739069e+03
6.862371330537552980e-03,6.862371330537553061e-06,1.714558462399481641e+03
7.720167746854747319e-03,7.720167746854747617e-06,1.778585284380005760e+03
8.577964163171941658e-03,8.577964163171942173e-06,1.813655759970766439e+03
9.435760579489136865e-03,9.435760579489136729e-06,1.814667712271417940e+03
1.029355699580633207e-02,1.029355699580633129e-05,1.801917167061145392e+03
1.115135341212352554e-02,1.115135341212352584e-05,1.778894743464156591e+03
1.200914982844072075e-02,1.200914982844072040e-05,1.748000366399905261e+03
1.286694624475791422e-02,1.286694624475791495e-05,1.708101932713147335e+03
1.372474266107510943e-02,1.372474266107510951e-05,1.662178900955780364e+03
1.458253907739230464e-02,1.458253907739230407e-05,1.607081775932497749e+03
1.544033549370949811e-02,1.544033549370949862e-05,1.586991890169106682e+03
1.629813191002669331e-02,1.629813191002669318e-05,1.573656858497325402e+03
1.715592832634388679e-02,1.715592832634388773e-05,1.569526469611641005e+03
1.801372474266108373e-02,1.801372474266108229e-05,1.574506085973697964e+03
1.887152115897827720e-02,1.887152115897827685e-05,1.579933537629523926e+03
1.972931757529547067e-02,1.972931757529547140e-05,1.585378009530084682e+03
2.058711399161266761e-02,2.058711399161266596e-05,1.590100664626002299e+03
2.144491040792986108e-02,2.144491040792986052e-05,1.594198277559017697e+03
2.230270682424705456e-02,2.230270682424705507e-05,1.599219695879636220e+03
2.316050324056424803e-02,2.316050324056424963e-05,1.604076691175618407e+03
2.401829965688144497e-02,2.401829965688144418e-05,1.608423291291056557e+03
2.487609607319863844e-02,2.487609607319863874e-05,1.612243364056736027e+03
2.573389248951583191e-02,2.573389248951583330e-05,1.615467720183308074e+03
2.659168890583302886e-02,2.659168890583302785e-05,1.616823505355776206e+03
2.744948532215022233e-02,2.744948532215022241e-05,1.618264496264964464e+03
2.830728173846741580e-02,2.830728173846741696e-05,1.619346527553904252e+03
2.916507815478461274e-02,2.916507815478461152e-05,1.620128538503167192e+03
3.002287457110180621e-02,3.002287457110180608e-05,1.620590196312587068e+03
3.088067098741899622e-02,3.088067098741899725e-05,1.619832247372943129e+03
3.173846740373618969e-02,3.173846740373619180e-05,1.618295067572641528e+03
3.259626382005338663e-02,3.259626382005338636e-05,1.616483260117512145e+03
3.345406023637058357e-02,3.345406023637058091e-05,1.615376524562769191e+03
3.431185665268777357e-02,3.431185665268777547e-05,1.614201935643768138e+03
3.516965306900497051e-02,3.516965306900497003e-05,1.612779140103979216e+03
3.602744948532216746e-02,3.602744948532216458e-05,1.611092256737337721e+03
3.688524590163935746e-02,3.688524590163935914e-05,1.607958407793728384e+03
3.774304231795655440e-02,3.774304231795655369e-05,1.604557817688774094e+03
3.860083873427375134e-02,3.860083873427374825e-05,1.600868179659210909e+03
3.945863515059094134e-02,3.945863515059094281e-05,1.596915758414113270e+03
4.031643156690813828e-02,4.031643156690813736e-05,1.592620195635429809e+03
4.117422798322533523e-02,4.117422798322533192e-05,1.588251663971140488e+03
4.203202439954252523e-02,4.203202439954252647e-05,1.584420590094102181e+03
4.288982081585972217e-02,4.288982081585972103e-05,1.579708314417573547e+03
4.374761723217691217e-02,4.374761723217691559e-05,1.573261205811520995e+03
4.460541364849410911e-02,4.460541364849411014e-05,1.566367745043895411e+03
4.546321006481130605e-02,4.546321006481130470e-05,1.559396259150893229e+03
4.632100648112849606e-02,4.632100648112849926e-05,1.552372653219718131e+03
4.717880289744569300e-02,4.717880289744569381e-05,1.545445557881932245e+03
4.803659931376288994e-02,4.803659931376288837e-05,1.538233399344128202e+03
4.889439573008007994e-02,4.889439573008008292e-05,1.530709209145480827e+03
4.975219214639727688e-02,4.975219214639727748e-05,1.522840941801045801e+03
5.060998856271447383e-02,5.060998856271447204e-05,1.514984445101249776e+03
5.146778497903166383e-02,5.146778497903166659e-05,1.506611564595795016e+03
5.232558139534886077e-02,5.232558139534886115e-05,1.498007801578363342e+03
5.318337781166605771e-02,5.318337781166605570e-05,1.489146762060047422e+03
5.404117422798324771e-02,5.404117422798325026e-05,1.479836261928943486e+03
5.489897064430044465e-02,5.489897064430044482e-05,1.470111076972740648e+03
5.575676706061764160e-02,5.575676706061763937e-05,1.459588838667467598e+03
5.661456347693483160e-02,5.661456347693483393e-05,1.447159656007006788e+03
5.747235989325202854e-02,5.747235989325202849e-05,1.433588767290348642e+03
5.833015630956922548e-02,5.833015630956922304e-05,1.416666466746391961e+03
5.918795272588641548e-02,5.918795272588641760e-05,1.397644329255841058e+03
6.004574914220361243e-02,6.004574914220361215e-05,1.379072911169821055e+03
6.090354555852080937e-02,6.090354555852080671e-05,1.357526758540014043e+03
6.176134197483799243e-02,6.176134197483799449e-05,1.339452695767928617e+03
